Number,Crust_CFL_2017,Crust_LABR_2016,Crust_LAWN_2017,Crust_QFL_2017,Crust_TX_2016,Crust_Per_CFL_2017,Crust_Per_LABR_2016,Crust_Per_LAWN_2017,Crust_Per_QFL_2017,Crust_Per_TX_2016
SOAP-209,1.99E-15,6.25E-15,2.22E-14,2.72E-15,4,-1.46E-13,1.85E-13,4.15E-13,2.34E-13,30
SOAP-21,1.35E-14,1,2.5,1.5,0.5,3.86E-14,5,17.5,10,2.5
SOAP-210,2,2.5,4,1,1.5,12.5,15,30,5,10
SOAP-211,4.5,2,5.5,1.5,4,37.5,12.5,45,7.5,32.5
SOAP-212,3,2,5,4.5,5.5,20,12.5,45,35,45
SOAP-213,2,3.5,6.5,2,3,10,25,60,12.5,25
SOAP-214,2,2.5,4.5,2,4,10,15,35,10,30
SOAP-215,1,1,3.5,2.5,2.5,5,5,25,15,15
SOAP-216,NA,2,NA,NA,3.5,NA,10,NA,NA,25
SOAP-217,3,2.863013699,3.5,3.5,7.5,20,18.65296804,25,25,70
SOAP-218,2,4,6,2,4.5,12.5,30,50,10,35
SOAP-219,1.5,1,6.5,1.5,5.5,7.5,5,55,7.5,45
SOAP-22,0.5,-3.46E-14,1.5,-7.49E-15,2,2.5,-2.48E-13,7.5,1.75E-13,12.5
SOAP-220,2.5,1.5,7.5,2,6,15,7.5,70,10,50
SOAP-221,2,2.5,4,3,5,10,15,30,20,40
SOAP-222,1,2,3,1.5,7,5,10,20,6.5,60
SOAP-223,3.5,1,2.5,1.5,6,25,5,20,7.5,55
SOAP-224,3.5,4.5,8.5,4.5,7,25,42.5,85,35,60
SOAP-225,2.5,2.136986301,3.5,3,3,15,11.34703196,25,20,22.5
SOAP-226,2,2.5,4.5,3,5.5,10,17.5,35,20,45
SOAP-227,1,0.5,3.5,2,5,5,2.5,27.5,10,40
SOAP-228,1.5,3.5,6,3.5,4.5,7.5,27.5,50,25,35
SOAP-229,9.54E-15,1,1.15E-14,4,3,-5.81E-15,5,1.73E-13,30,20
SOAP-23,5.5,2.5,5.5,2,7,45,15,50,12.5,60
SOAP-230,2,3.5,NA,2.5,4,12.5,25,NA,15,30
SOAP-231,1,1.5,5,2.5,5,5,7.5,40,15,40
SOAP-232,4.5,1.5,4,2,5,35,7.5,30,12.5,40
SOAP-233,2,1,5.5,4.5,3,12.5,5,45,35,20
SOAP-234,3,8,7.5,5,7.5,20,75,70,40,70
SOAP-24,NA,1,1.51E-14,NA,1.5,NA,5,3.15E-13,NA,10
SOAP-25,9.09E-15,0.5,1.33E-14,-7.27E-15,-1.11E-15,1.29E-15,2.5,1.02E-13,1.06E-13,-5.06E-14
SOAP-26,-2.01E-15,0.5,2.66E-15,1.5,-6.44E-15,-1.47E-14,2.5,1.59E-13,7.5,3.46E-14
SOAP-27,8.21E-15,1,1.5,5.5,3,-3.07E-14,5,7.5,45,20
SOAP-28,1.71E-14,1,0.5,-3.05E-15,1,-2.00E-14,5,2.5,1.98E-13,5
SOAP-29,1.53E-14,1,0.5,2,3.5,1.73E-14,5,2.5,12.5,27.5
SOAP-3,8.5,8,9,8.5,7.5,85,80,90,85,70
SOAP-30,2.5,5,6.5,2,4.5,15,40,55,12.5,35
SOAP-31,1.5,2,7,3,7.5,7.5,12.5,65,22.5,70
SOAP-32,1,3,3.5,0.5,7.5,5,22.5,25,2.5,70
SOAP-33,2,2.5,5,1.5,7.5,10,20,40,10,70
SOAP-34,3,2.5,8,2,7.5,20,15,70,12.5,70
SOAP-35,1,2.136986301,4.5,1.5,5,5,11.34703196,35,10,40
SOAP-36,5.5,7.5,5,2,2.5,45,70,40,12.5,15
SOAP-37,4.5,3.863013699,6.5,3.5,7.5,35,28.65296804,55,25,70
SOAP-38,7,7.5,9,9,8.5,65,70,90,90,85
SOAP-39,2.5,3,8.5,3.5,6,14,20,85,25,50
SOAP-4,6,3.5,8.5,9,8.5,50,25,80,90,85
SOAP-40,3,2,4.5,2.5,5,20,12.5,35,15,40
SOAP-41,2,3.5,7.5,3,6,12.5,25,70,20,50
SOAP-42,4.5,2.5,6.5,6.5,6,35,17.5,60,55,50
SOAP-43,3,1,NA,0.168141593,6.5,25,5,NA,1.57079646,55
SOAP-44,1.5,0.5,4,0.5,6.5,7.5,2.5,32.5,2.5,55
SOAP-45,9.98E-15,2,5.5,2.5,5,3.07E-15,10,45,14,40
SOAP-46,3.5,2.5,8.5,4,5.5,25,15,85,30,45
SOAP-47,6.5,0.5,7.5,1.5,2,60,2.5,70,7.5,10
SOAP-48,3,1.5,7.5,2,6.5,20,7.5,70,10,60
SOAP-5,0.5,0.5,1.5,-1.82E-14,1,2.5,2.5,7.5,1.84E-14,5
SOAP-50,4,1,7,3.831858407,7.5,30,5,60,28.42920354,70
SOAP-51,7.5,1.5,6.5,9,8,70,7.5,60,90,75
SOAP-52,3,1.5,4.5,2.5,8.5,20,7.5,35,15,85
SOAP-53,4.5,1,7.5,6,9,35,5,65,50,90
SOAP-54,3,2,5.5,7,7,20,12.5,50,65,60
SOAP-55,2.5,1,6,2.5,7.5,15,5,50,15,70
SOAP-56,2.5,4,6.5,3,7,15,30,60,20,60
SOAP-57,1.5,0.5,6,1.5,6.5,7.5,2.5,50,7.5,55
SOAP-58,2.5,3,7,5,7.5,15,20,60,45,70
SOAP-59,1.5,1.5,8,5,7.5,7.5,7.5,75,40,70
SOAP-6,1,5,7.5,5.5,5,5,40,70,45,40
SOAP-60,1.09E-14,1,6.22E-15,-7.72E-15,0.5,4.84E-15,5,1.02E-13,1.33E-13,2.5
SOAP-61,2,1.5,3,3,3.5,10,7.5,20,20,25
SOAP-62,3.5,2.5,4,6.5,7.5,25,15,30,55,70
SOAP-63,4,1.5,6.5,5,8,30,7.5,55,40,80
SOAP-64,2.5,1,8,5,6.5,17.5,5,80,40,55
SOAP-65,2,3.5,5.5,2,6.5,10,25,50,12.5,55
SOAP-66,0.5,1.5,2.5,1.5,1.5,2.5,7.5,15,7.5,7.5
SOAP-67,1,1,5.5,4,7.5,5,5,45,30,70
SOAP-68,6.87E-15,1.5,1,0.5,-2.89E-15,-2.00E-14,10,5,2.5,-2.93E-14
